uprn,house number,street,town,postcode,licence expiry,permitted no of occupiers
100030460445,32,Royland Road,Loughborough,LE11 2EH,31 May 2023,6
100030460447,36,Royland Road,Loughborough,LE11 2EH,21 November 2023,5
100030460448,38,Royland Road,Loughborough,LE11 2EH,21 November 2023,5
100030460450,42,Royland Road,Loughborough,LE11 2EH,26 March 2023,6
100030460680,5,Rydal Avenue,Loughborough,LE11 3RU,06 December 2023,5
100030460970,4,Schofield Road,Loughborough,LE11 4QJ,19 October 2023,6
100030460980,14,Schofield Road,Loughborough,LE11 4QJ,24 October 2023,6
100030461286,5,Selbourne Street,Loughborough,LE11 1BS,10 January 2023,6
100030461456,28,Shakespeare Street,Loughborough,LE11 1QQ,24 February 2022,6
100030461503,78,Sharpley Road,Loughborough,LE11 4PN,14 December 2023,5
100030461538,113,Sharpley Road,Loughborough,LE11 4PL,25 January 2024,5
100030461563,134,Sharpley Road,Loughborough,LE11 4PW,15 February 2024,5
100030461618,189,Sharpley Road,Loughborough,LE11 4PL,05 February 2024,0
100030461762,13,Shelthorpe Road,Loughborough,LE11 2PB,02 March 2022,6
100030462254,10,Silverton Road,Loughborough,LE11 2RJ,26 October 2023,5
100030462526,61,Sparrow Hill,Loughborough,LE11 1BU,23 October 2023,6
100030462894,12,Squirrel Way,Loughborough,LE11 3GP,24 December 2023,6
100030463059,23,Station Street,Loughborough,LE11 5ED,02 June 2019,5
100030463075,39,Station Street,Loughborough,LE11 5ED,18 January 2024,5
100030463109,82,Station Street,Loughborough,LE11 5EF,26 July 2020,5
100030463159,132,Station Street,Loughborough,LE11 5EG,01 October 2023,5
100030463160,133,Station Street,Loughborough,LE11 5EG,07 February 2023,6
100030463293,4,Storer Road,Loughborough,LE11 5EQ,27 October 2022,6
100030463294,5,Storer Road,Loughborough,LE11 5EQ,14 July 2022,8
100030463296,7,Storer Road,Loughborough,LE11 5EQ,26 April 2023,6
100030463303,13,Storer Road,Loughborough,LE11 5EQ,16 June 2019,6
100030463306,19,Storer Road,Loughborough,LE11 5EQ,13 November 2022,6
100030463309,25,Storer Road,Loughborough,LE11 5EQ,21 November 2023,6
100030463310,27,Storer Road,Loughborough,LE11 5EQ,24 January 2024,5
100030463312,31,Storer Road,Loughborough,LE11 5EQ,26 March 2023,8
100030463314,37,Storer Road,Loughborough,LE11 5EH,13 November 2022,6
100030463316,41,Storer Road,Loughborough,LE11 5EH,07 February 2023,5
100030463318,43,Storer Road,Loughborough,LE11 5EH,16 March 2022,5
100030463319,45,Storer Road,Loughborough,LE11 5EH,12 June 2023,6
100030463321,49,Storer Road,Loughborough,LE11 5EH,07 February 2023,6
100030463325,55,Storer Road,Loughborough,LE11 5EH,28 January 2024,6
100030463327,57,Storer Road,Loughborough,LE11 5EH,14 September 2019,5
100030463328,59,Storer Road,Loughborough,LE11 5EH,26 May 2019,5
100030463329,61,Storer Road,Loughborough,LE11 5EH,09 May 2023,6
100030463336,75,Storer Road,Loughborough,LE11 5EH,25 January 2024,5
100030463338,79,Storer Road,Loughborough,LE11 5EH,21 December 2021,6
100030463339,81,Storer Road,Loughborough,LE11 5EH,31 October 2022,5
100030463340,83,Storer Road,Loughborough,LE11 5EH,25 April 2023,5
100030463341,85,Storer Road,Loughborough,LE11 5EH,28 December 2022,5
100030463342,87,Storer Road,Loughborough,LE11 5EH,28 February 2021,6
100030463342,87,Storer Road,Loughborough,LE11 5EH,28 February 2021,6
100030463346,95,Storer Road,Loughborough,LE11 5EH,26 July 2020,6
100030463292,1a,Storer Road,Loughborough,LE11 5EQ,16 November 2023,5
100030463857,10,Tennyson Road,Loughborough,LE11 4LE,06 December 2023,6
100030463859,12,Tennyson Road,Loughborough,LE11 4LE,14 December 2023,6
10012189550,18a,The Rushes,Loughborough,LE11 5BE,25 January 2024,8
100030464567,30,Thirlmere Drive,Loughborough,LE11 3SY,01 November 2023,5
100030465058,45,Toothill Road,Loughborough,LE11 1PN,31 May 2023,7
100030465060,47,Toothill Road,Loughborough,LE11 1PN,31 May 2023,8
100030465103,89,Toothill Road,Loughborough,LE11 1PN,08 September 2022,6
100030465105,91,Toothill Road,Loughborough,LE11 1PN,09 July 2019,5
100030465111,97,Toothill Road,Loughborough,LE11 1PN,02 June 2019,5
100030465841,72,Valley Road,Loughborough,LE11 3QA,03 March 2019,26
100030466013,13,Victoria Street,Loughborough,LE11 2EN,12 July 2023,6
100030428997,46,Wanlip Road,Syston,LE7 1PA,22 March 2023,6
100030466795,4,Westfield Drive,Loughborough,LE11 3QL,30 October 2023,6
100030466798,8,Westfield Drive,Loughborough,LE11 3QL,29 January 2024,6
100030466869,11,Westmorland Avenue,Loughborough,LE11 3RY,06 December 2023,7
10008150860,Carpenters Arms,Wharncliffe Road,Loughborough,LE11 1SL,05 November 2022,12
10008151651,7,Wheel Tappers Way,Loughborough,LE11 5EA,09 August 2021,5
10008151652,9,Wheel Tappers Way,Loughborough,LE11 5EA,05 February 2024,5
10008151649,3,Wheeltappers Way,Loughborough,LE11 5EB,18 January 2023,5
100030467337,45,William Street,Loughborough,LE11 3BX,09 May 2023,5
100030467343,51,William Street,Loughborough,LE11 3BX,23 January 2023,5
100030467345,53,William Street,Loughborough,LE11 3BX,26 July 2020,6
100030467347,57,William Street,Loughborough,LE11 3BX,30 November 2019,6
100030467348,59,William Street,Loughborough,LE11 3BX,27 October 2022,6
100030467349,61,William Street,Loughborough,LE11 3BX,22 April 2021,5
100030467350,63,William Street,Loughborough,LE11 3BX,31 July 2022,6
100030467354,71,William Street,Loughborough,LE11 3BX,26 July 2020,6
100030467355,73,William Street,Loughborough,LE11 3BX,01 November 2023,6
100030467371,105,William Street,Loughborough,LE11 3BY,26 July 2020,6
100030468260,5,Wordsworth Road,Loughborough,LE11 4LG,27 February 2024,6
10004000796,2,Wren Close,Loughborough,LE11 3HL,01 October 2023,6
10004000798,4,Wren Close,Loughborough,LE11 3HL,15 June 2020,6
10004000800,6,Wren Close,Loughborough,LE11 3HL,26 July 2020,6
10004000806,14,Wren Close,Loughborough,LE11 3HL,01 October 2023,5
100030468435,14,York Road,Loughborough,LE11 3DA,13 August 2022,5
100030468437,16,York Road,Loughborough,LE11 3DA,02 June 2019,5
100030468438,17,York Road,Loughborough,LE11 3DA,03 February 2022,6
100030468439,18,York Road,Loughborough,LE11 3DA,07 February 2023,5
100030468444,23,York Road,Loughborough,LE11 3DA,29 October 2022,7
100030468446,25,York Road,Loughborough,LE11 3DA,07 November 2023,5
100030468449,28,York Road,Loughborough,LE11 3DA,31 December 2020,6
100030468451,30,York Road,Loughborough,LE11 3DA,15 November 2023,5
100030468452,31,York Road,Loughborough,LE11 3DA,31 October 2022,5
100030468453,32,York Road,Loughborough,LE11 3DA,09 November 2023,5
100030468454,33,York Road,Loughborough,LE11 3DA,04 October 2020,6
100030468455,34,York Road,Loughborough,LE11 3DA,14 September 2019,6
100030468456,35,York Road,Loughborough,LE11 3DA,05 November 2022,5
100030468457,36,York Road,Loughborough,LE11 3DA,31 December 2020,6
100030468458,37,York Road,Loughborough,LE11 3DA,07 November 2023,7
100030468460,39,York Road,Loughborough,LE11 3DA,24 February 2022,5
100030468462,41,York Road,Loughborough,LE11 3DA,16 March 2022,6
100030468474,53,York Road,Loughborough,LE11 3DA,13 November 2022,6
100030468475,54,York Road,Loughborough,LE11 3DA,08 November 2023,5
